level,descriptor,target,removed_group,n,remaining_n,full_rho,group_loo_rho,absolute_shift,sign_flip
task,trend_energy_over_raw,delta_auc_pr,PSM,23,22,0.05434782608695652,0.13495200451722192,0.0806041784302654,False
task,trend_energy_over_raw,delta_auc_pr,Genesis,23,22,0.05434782608695652,-0.0016939582156973462,0.056041784302653865,True
task,trend_energy_over_raw,delta_auc_pr,GECCO,23,22,0.05434782608695652,0.1225296442687747,0.06818181818181818,False
task,trend_energy_over_raw,delta_auc_pr,CalIt2,23,22,0.05434782608695652,0.06832298136645965,0.013975155279503125,False
task,trend_energy_over_raw,delta_auc_pr,NYC,23,22,0.05434782608695652,-0.011857707509881424,0.06620553359683795,True
task,trend_energy_over_raw,delta_auc_pr,MSL,23,22,0.05434782608695652,0.07396950875211745,0.019621682665160935,False
task,trend_energy_over_raw,delta_auc_pr,ASD,23,11,0.05434782608695652,-0.22727272727272727,0.2816205533596838,True
task,trend_energy_over_raw,delta_auc_pr,CICIDS,23,22,0.05434782608695652,0.03896103896103897,0.015386787125917553,False
task,trend_energy_over_raw,delta_auc_pr,Creditcard,23,22,0.05434782608695652,0.0852625635234331,0.03091473743647658,False
task,trend_energy_over_raw,delta_auc_pr,SMAP,23,22,0.05434782608695652,-0.044607566346696784,0.09895539243365331,True
task,trend_energy_over_raw,delta_auc_pr,SMD,23,22,0.05434782608695652,0.10333145115753813,0.048983625070581606,False
task,trend_energy_over_raw,delta_auc_pr,SWAT,23,22,0.05434782608695652,0.13495200451722192,0.0806041784302654,False
task,trend_energy_over_raw,delta_auc_roc,PSM,23,22,0.19762845849802374,0.24110671936758896,0.043478260869565216,False
task,trend_energy_over_raw,delta_auc_roc,Genesis,23,22,0.19762845849802374,0.17899491812535295,0.018633540372670787,False
task,trend_energy_over_raw,delta_auc_roc,GECCO,23,22,0.19762845849802374,0.24562394127611523,0.047995482778091486,False
task,trend_energy_over_raw,delta_auc_roc,CalIt2,23,22,0.19762845849802374,0.21852060982495766,0.020892151326933922,False
task,trend_energy_over_raw,delta_auc_roc,NYC,23,22,0.19762845849802374,0.15415019762845852,0.043478260869565216,False
task,trend_energy_over_raw,delta_auc_roc,MSL,23,22,0.19762845849802374,0.14624505928853757,0.051383399209486175,False
task,trend_energy_over_raw,delta_auc_roc,ASD,23,11,0.19762845849802374,0.26363636363636367,0.06600790513833993,False
task,trend_energy_over_raw,delta_auc_roc,CICIDS,23,22,0.19762845849802374,0.09881422924901187,0.09881422924901187,False
task,trend_energy_over_raw,delta_auc_roc,Creditcard,23,22,0.19762845849802374,0.1518915866741954,0.04573687182382835,False
task,trend_energy_over_raw,delta_auc_roc,SMAP,23,22,0.19762845849802374,0.09203839638622249,0.10559006211180125,False
task,trend_energy_over_raw,delta_auc_roc,SMD,23,22,0.19762845849802374,0.30434782608695654,0.1067193675889328,False
task,trend_energy_over_raw,delta_auc_roc,SWAT,23,22,0.19762845849802374,0.2670807453416149,0.06945228684359117,False
task,residual_energy_over_raw,delta_auc_pr,PSM,23,22,-0.07015810276679843,-0.1575381140598532,0.08738001129305478,False
task,residual_energy_over_raw,delta_auc_pr,Genesis,23,22,-0.07015810276679843,-0.0016939582156973462,0.06846414455110109,False
task,residual_energy_over_raw,delta_auc_pr,GECCO,23,22,-0.07015810276679843,-0.12704686617730096,0.05688876341050253,False
